loan_id,balance,mortgage_rate,seasoning_months,fico,ltv,state
84,237570.08,0.050292,332,746,0.7755,CA
85,164698.56,0.059603,324,715,0.7944,FL
86,351209.3,0.065547,131,661,0.8213,IL
87,228380.63,0.042742,195,802,0.8497,IL
88,283685.74,0.045161,44,737,0.7846,IL
89,350226.72,0.038138,12,661,0.865,NC
90,344875.59,0.072804,184,698,0.7604,CA
91,380569.2,0.055547,119,683,0.8749,NC
92,269866.19,0.057298,60,734,0.7792,AZ
93,233168.29,0.039098,88,749,0.7943,CA
94,272154.94,0.052488,96,717,0.8456,CA
95,132018.79,0.057592,156,775,0.7437,Other
96,147089.92,0.049972,152,744,0.7426,FL
97,155559.75,0.063257,137,788,0.6209,NY
98,180094.85,0.075618,218,724,0.7749,FL
99,337695.0,0.043029,269,850,0.6481,IL
100,187687.65,0.042279,159,715,0.7451,NC
101,237952.62,0.043722,84,699,0.8891,NC
102,506182.59,0.068562,74,694,0.87,FL
103,240309.08,0.062924,60,731,0.6965,TX
104,393124.65,0.051145,42,663,0.8561,IL
105,185326.06,0.052866,65,753,0.7276,FL
106,257185.55,0.044335,47,654,0.8748,PA
107,183963.03,0.0614,214,747,0.7338,PA
108,242179.66,0.048701,130,679,0.8073,AZ
109,411736.42,0.049899,135,723,0.8433,CA
110,129664.52,0.058588,79,767,0.797,CA
111,343001.69,0.05062,51,844,0.763,VA
112,313947.49,0.05015,27,691,0.8127,IL
113,215913.37,0.052606,101,733,0.7134,CA
114,147159.74,0.060454,193,707,0.8554,Other
115,291401.78,0.068965,205,701,0.861,GA
116,222287.81,0.058355,71,708,0.8399,NJ
117,313233.53,0.060533,109,777,0.7099,VA
118,284882.89,0.050501,144,718,0.746,PA
119,580009.93,0.045422,211,841,0.717,FL
120,253289.9,0.05904,191,759,0.7188,FL
121,177979.94,0.054212,309,695,0.8046,NY
122,305796.17,0.038274,127,723,0.9404,NJ
123,311451.38,0.049219,55,704,0.9184,NC
124,520026.17,0.051671,134,776,0.7876,NJ
125,410774.66,0.047395,158,666,0.8127,CA
126,331237.85,0.067317,279,680,0.7972,GA
127,544970.15,0.057298,103,713,0.8398,CA
128,165223.87,0.066232,304,771,0.8273,WA
129,211527.82,0.055134,120,795,0.7055,GA
130,185914.25,0.053314,178,802,0.702,PA
131,236708.71,0.043134,199,764,0.7631,NY
132,151826.13,0.052619,113,736,0.7141,CA
133,375426.48,0.052631,25,776,0.6801,GA
134,255250.27,0.038829,56,688,0.7674,CA
135,145529.95,0.047105,28,657,0.8811,PA
136,178615.26,0.049267,47,760,0.7758,TX
137,324837.79,0.056635,46,695,0.8768,PA
138,411332.41,0.057114,171,737,0.6958,CA
139,692822.35,0.046687,246,745,0.6997,CA
140,1046789.18,0.057189,50,751,0.793,NJ
141,339926.35,0.050679,219,782,0.6991,GA
142,180720.67,0.025,77,777,0.7071,TX
143,108074.83,0.047653,53,749,0.8226,NJ
144,318211.06,0.06329,181,720,0.7701,VA
145,195668.37,0.035682,266,745,0.7538,IL
146,234003.0,0.053627,65,713,0.7915,PA
147,214176.65,0.068353,141,731,0.7785,TX
148,264777.23,0.044894,40,850,0.7165,CA
149,455746.09,0.052521,198,748,0.7124,CA
150,302752.78,0.03946,62,760,0.7528,Other
151,262659.64,0.068772,192,708,0.8666,CA
152,177008.99,0.051667,156,786,0.8457,CA
153,132772.53,0.052966,39,774,0.6819,TX
154,226649.82,0.066043,177,775,0.7654,VA
155,275349.88,0.059115,259,750,0.7616,NY
156,625038.46,0.043744,71,787,0.7333,VA
157,299127.01,0.046027,107,797,0.6899,NY
158,438990.38,0.057449,27,753,0.8062,VA
159,225329.03,0.046259,113,735,0.8197,AZ
160,165508.08,0.031328,196,780,0.8706,NY
161,182717.67,0.051968,109,699,0.7504,Other
162,203546.2,0.037698,183,708,0.721,Other
163,735136.43,0.068663,152,738,0.8845,CA
164,194926.14,0.054268,111,662,0.8467,IL
165,411399.54,0.043448,168,777,0.7243,GA
166,187903.3,0.045514,133,697,0.8276,WA
167,428998.14,0.033606,172,719,0.7289,GA
168,335449.91,0.041505,112,730,0.8077,GA
169,262895.78,0.062663,203,742,0.7742,TX
170,276967.89,0.074818,248,725,0.847,WA
171,210101.4,0.059764,103,737,0.8255,CA
172,344804.37,0.05158,36,737,0.8297,GA
173,229867.29,0.04818,94,720,0.8073,TX
174,162507.17,0.042935,116,705,0.8913,NC
175,158724.95,0.073098,165,789,0.7653,VA
176,304877.26,0.050613,98,645,0.8378,CA
177,574118.48,0.073656,254,731,0.7475,VA
178,303154.01,0.066435,243,719,0.7638,WA
179,267429.9,0.035092,179,759,0.7926,CA
180,320815.59,0.04584,232,675,0.7712,NY
181,507727.81,0.04581,221,718,0.8073,TX
182,311365.31,0.051702,101,735,0.7428,CA
183,234469.96,0.051897,89,788,0.6747,VA
184,464088.21,0.082462,158,755,0.7121,FL
185,342128.06,0.041728,80,687,0.8259,PA
186,563031.13,0.05479,142,718,0.8377,CA
187,306341.42,0.058665,137,780,0.7106,CA
188,162590.32,0.052484,104,686,0.7242,PA
189,152409.82,0.053602,48,736,0.9413,FL
190,592980.96,0.042052,118,740,0.8359,AZ
191,612711.57,0.053565,91,723,0.8417,CA
192,260202.73,0.057614,95,850,0.7636,PA
193,237415.18,0.055776,174,721,0.8015,GA
194,544514.54,0.058202,119,760,0.7555,PA
195,171412.71,0.066626,174,706,0.878,GA
196,188597.96,0.06187,48,764,0.8261,TX
197,376810.26,0.053213,185,779,0.7761,NC
198,236198.47,0.040782,90,714,0.8472,IL
199,281445.8,0.0465,64,738,0.7198,VA
200,262091.96,0.050304,91,700,0.8027,CA
201,328374.02,0.055023,78,689,0.9105,CA
202,531451.3,0.047717,99,787,0.7784,NY
203,293831.93,0.043143,270,715,0.7291,FL
204,376914.05,0.040618,61,631,0.8503,CA
205,112130.94,0.035988,146,819,0.7868,CA
206,275978.08,0.05015,207,704,0.8348,CA
207,193019.48,0.037803,187,729,0.7989,CA
208,163004.67,0.042495,41,814,0.7248,CA
209,190009.9,0.048561,125,734,0.7812,VA
210,242715.31,0.039141,44,733,0.76,Other
211,425983.61,0.056298,313,685,0.7872,NY
212,155301.44,0.059902,197,666,0.8963,TX
213,286010.61,0.047006,102,733,0.7981,FL
214,226868.03,0.04813,128,756,0.8011,VA
215,243420.85,0.057874,36,754,0.7949,Other
216,442962.78,0.04536,270,718,0.87,TX
217,359385.87,0.044673,107,741,0.8018,CA
218,514952.09,0.064465,122,657,0.895,FL
219,263148.15,0.061342,32,761,0.7697,FL
220,206246.19,0.058516,183,747,0.7264,CA
221,255062.41,0.061756,42,829,0.6896,GA
222,314620.85,0.032727,234,740,0.8095,CA
223,305424.54,0.066038,89,698,0.8512,CA
224,173169.36,0.056421,118,738,0.8543,NC
225,293819.35,0.062608,106,725,0.7703,VA
226,312607.21,0.056372,117,760,0.7735,TX
227,875773.97,0.052989,182,741,0.7727,NC
228,656435.73,0.049747,128,683,0.9119,FL
229,192151.71,0.056171,229,666,0.8646,FL
230,247874.41,0.049383,282,752,0.7891,CA
231,146013.02,0.061179,42,802,0.7231,TX
232,216248.14,0.036635,79,744,0.7652,CA
233,325143.61,0.047084,134,777,0.6747,GA
234,485354.16,0.072948,115,786,0.6761,WA
235,203193.15,0.046239,301,752,0.7783,CA
236,210162.03,0.050113,216,703,0.8156,TX
237,107336.06,0.043674,145,749,0.7812,FL
238,262183.61,0.055858,152,794,0.7791,NY
239,174890.18,0.045137,122,764,0.7633,WA
240,222293.14,0.050644,82,774,0.7324,CA
241,190120.36,0.060989,131,719,0.7882,PA
242,270379.51,0.045512,164,731,0.8002,IL
243,127902.33,0.060386,128,735,0.7654,WA
244,145776.46,0.060722,135,738,0.835,FL
245,735393.64,0.06305,281,793,0.7323,CA
246,158048.91,0.053905,31,634,0.8868,CA
247,172205.96,0.084913,9,741,0.7383,PA
248,644745.59,0.063045,209,736,0.8368,IL
249,1042654.29,0.055749,251,678,0.9071,PA
250,166507.4,0.043741,75,770,0.6852,CA
251,239016.52,0.051529,128,707,0.8294,CA
252,328962.81,0.066763,126,724,0.7888,IL
253,614100.54,0.069595,104,823,0.7204,CA
254,180938.83,0.067283,66,785,0.7626,Other
255,252615.78,0.060352,111,766,0.6451,VA
256,400232.9,0.039943,107,757,0.8029,CA
257,343054.54,0.057372,253,733,0.8418,PA
258,238167.57,0.040086,148,830,0.7612,CA
259,265608.76,0.037625,142,776,0.7008,Other
260,151948.49,0.054892,158,706,0.8087,IL
261,253424.65,0.057732,63,677,0.8091,FL
262,250227.46,0.061534,130,766,0.6611,GA
263,313162.17,0.057471,96,737,0.7516,CA
264,219718.56,0.057816,191,676,0.7827,TX
265,348778.5,0.042653,166,759,0.7798,TX
266,444952.19,0.05145,54,728,0.7091,FL
267,302532.26,0.037429,222,764,0.7097,CA
268,330476.35,0.032466,76,760,0.7362,Other
269,288924.27,0.059906,123,713,0.8425,NY
270,282105.95,0.044969,225,768,0.894,WA
271,203882.45,0.061225,282,718,0.8147,CA
272,325273.75,0.063583,188,721,0.7453,WA
273,270011.82,0.046307,263,716,0.7674,GA
274,723550.58,0.058403,242,791,0.7676,GA
275,572638.39,0.045888,198,727,0.7243,VA
276,335585.13,0.034041,172,802,0.7797,NJ
277,200110.35,0.053733,215,820,0.7226,PA
278,170999.32,0.047791,335,707,0.8031,AZ
279,482151.82,0.048099,138,620,0.8024,CA
280,317501.29,0.072253,72,787,0.7842,CA
281,350131.66,0.037241,73,725,0.7553,Other
282,128661.0,0.056329,169,701,0.8224,AZ
283,428200.71,0.042552,210,714,0.7953,NJ
284,346102.12,0.061583,35,721,0.7177,VA
285,171151.81,0.055484,194,798,0.7169,AZ
286,228162.61,0.056293,122,747,0.7133,NY
287,317639.62,0.043051,253,798,0.6958,CA
288,288834.77,0.044844,217,762,0.7821,NJ
289,247340.93,0.061773,116,726,0.8276,FL
290,269259.34,0.070208,82,722,0.7951,CA
291,251855.35,0.057303,125,765,0.7136,Other
292,302142.23,0.043526,139,777,0.7147,NC
293,546982.12,0.055889,220,785,0.7068,VA
294,88876.56,0.076775,135,728,0.6838,PA
295,253575.62,0.053524,53,748,0.7766,TX
296,305416.16,0.067118,185,766,0.6736,IL
297,322286.86,0.045097,185,723,0.7989,GA
298,238622.58,0.052079,243,689,0.7524,PA
299,127960.28,0.058696,142,704,0.7517,CA
300,326961.59,0.056473,220,729,0.8232,VA
301,613728.3,0.044836,161,770,0.7546,FL
302,141458.6,0.044405,85,797,0.6351,NY
303,416117.36,0.062383,49,679,0.8063,IL
304,243327.52,0.064416,105,713,0.8171,Other
305,274416.98,0.067621,42,724,0.7633,FL
306,175640.69,0.070539,148,776,0.7308,CA
307,242678.97,0.053846,147,716,0.8135,Other
308,506368.56,0.049388,106,721,0.7991,Other
309,366661.68,0.06601,285,676,0.7873,TX
310,615100.05,0.059631,56,762,0.7616,WA
311,479181.8,0.042675,132,733,0.7719,AZ
312,343722.18,0.042164,180,711,0.892,CA
313,618325.65,0.057419,51,728,0.7855,NC
314,343707.72,0.050727,273,791,0.7414,CA
315,409460.07,0.052236,304,695,0.833,WA
316,246851.71,0.063225,198,702,0.7977,CA
317,290670.5,0.06009,45,796,0.6942,GA
318,206108.76,0.065799,218,743,0.8003,VA
319,440344.55,0.033185,129,770,0.7767,CA
320,166003.37,0.055034,162,758,0.8681,NC
321,401136.74,0.059447,330,738,0.8189,CA
322,258902.55,0.037234,135,724,0.8322,CA
323,477854.32,0.045951,243,777,0.783,Other
324,395494.06,0.044095,55,792,0.6993,Other
325,640043.08,0.052717,198,789,0.6735,NC
326,391933.95,0.068779,32,687,0.7769,AZ
327,139049.03,0.072726,121,799,0.762,CA
328,273722.77,0.044357,213,724,0.8653,NJ
329,166474.39,0.057766,229,706,0.8469,AZ
330,223412.27,0.058088,79,732,0.7788,AZ
331,556850.9,0.056376,157,777,0.8309,FL
332,375829.26,0.05649,211,764,0.7365,FL
333,205969.07,0.055537,218,729,0.7324,GA
334,178764.97,0.069376,184,778,0.7589,CA
335,286287.53,0.063525,236,746,0.8393,VA
336,163170.01,0.041898,250,714,0.7609,TX
337,208561.01,0.060457,130,708,0.7232,NJ
338,324617.96,0.061424,117,758,0.7659,TX
339,474439.99,0.05565,107,736,0.8221,NC
340,370994.55,0.063814,109,678,0.6869,Other
341,100601.23,0.054381,144,778,0.7951,IL
342,323503.44,0.054505,104,718,0.7312,Other
343,291389.2,0.053712,228,812,0.7522,NY
344,339846.94,0.032318,271,677,0.7362,TX
345,583788.69,0.051696,176,732,0.7134,WA
346,111473.57,0.045817,202,709,0.8385,CA
347,216209.57,0.040636,23,696,0.8799,TX
348,368025.62,0.06684,192,718,0.7991,GA
349,138452.49,0.057542,83,820,0.8287,TX
350,548080.29,0.052202,121,746,0.7235,AZ
351,332954.28,0.046852,207,704,0.7602,NJ
352,412900.86,0.055462,207,658,0.8378,TX
353,218179.93,0.062414,163,663,0.831,FL
354,406847.48,0.04423,216,716,0.8155,TX
355,456257.31,0.052452,69,711,0.7686,GA
356,313261.98,0.061181,240,730,0.8173,CA
357,313476.73,0.03314,236,638,0.8978,WA
358,318588.14,0.051924,118,736,0.8642,CA
359,191280.2,0.048207,120,786,0.7146,TX
360,263975.64,0.051162,187,813,0.732,PA
361,263383.09,0.047484,146,655,0.8858,FL
362,335214.95,0.053876,70,704,0.8116,NJ
363,442378.4,0.071736,202,702,0.8032,IL
364,175195.67,0.049261,75,747,0.6706,TX
365,266664.32,0.055417,138,685,0.8331,IL
366,549440.08,0.072447,43,816,0.7422,Other
367,201871.23,0.047,198,742,0.7753,CA
368,194850.43,0.070647,142,734,0.7462,PA
369,308981.84,0.052553,182,812,0.632,FL
370,412492.51,0.070319,260,739,0.8035,WA
371,283549.42,0.060002,262,758,0.7657,CA
372,513000.59,0.055571,203,706,0.8797,CA
373,414802.3,0.051844,25,678,0.7626,NY
374,412016.65,0.04626,219,713,0.7805,GA
375,361982.96,0.053258,261,838,0.6268,CA
376,804071.84,0.061474,82,768,0.8064,VA
377,257217.48,0.052369,90,752,0.8313,FL
378,114509.72,0.049334,235,696,0.9152,Other
379,580656.4,0.049992,109,781,0.7696,AZ
380,229586.53,0.062425,177,679,0.8737,NC
381,296127.74,0.064752,263,669,0.8649,NC
382,508539.32,0.045828,170,715,0.8309,PA
383,137170.95,0.045814,217,828,0.7042,VA
384,160613.92,0.056294,240,825,0.7354,CA
385,137231.55,0.067775,147,720,0.9048,VA
386,197331.17,0.06396,220,710,0.8176,IL
387,343807.25,0.039981,191,666,0.847,VA
388,357140.5,0.049859,9,744,0.7863,NJ
389,319439.57,0.043194,145,747,0.7663,PA
390,149381.0,0.049825,125,776,0.7603,FL
391,99753.1,0.068544,71,781,0.7344,NY
392,289080.11,0.038274,35,731,0.8452,FL
393,228136.81,0.036311,135,765,0.81,NC
394,346876.33,0.044214,106,708,0.9167,TX
395,386883.59,0.055373,151,764,0.7575,Other
396,300201.33,0.058708,188,717,0.8149,WA
397,397146.25,0.056874,289,761,0.7737,WA
398,312745.52,0.064257,95,757,0.7749,AZ
399,358086.24,0.034869,82,743,0.8338,NY
400,205437.48,0.064383,315,776,0.6668,AZ
401,260191.94,0.049379,18,669,0.8661,NY
402,308213.88,0.059815,121,692,0.9225,CA
403,408087.88,0.039266,68,728,0.8588,CA
404,236290.31,0.05255,235,675,0.9002,CA
405,356655.38,0.054863,161,722,0.8381,TX
406,250289.25,0.064058,36,723,0.7653,FL
407,267561.85,0.036647,152,799,0.6901,Other
408,409742.24,0.052808,125,746,0.7376,TX
409,115050.08,0.041648,211,786,0.6822,AZ
410,157406.59,0.057555,273,754,0.8149,VA
411,144786.65,0.060272,196,716,0.8748,WA
412,98703.21,0.065372,77,746,0.7964,VA
413,207893.46,0.04715,284,773,0.7909,Other
414,395238.74,0.061772,215,794,0.7467,CA
415,248153.35,0.066109,142,734,0.8138,NJ
416,308354.55,0.036068,176,666,0.7399,FL
417,460536.72,0.058623,129,663,0.8642,TX
418,512706.46,0.062085,153,725,0.7721,NY
419,273453.79,0.049913,98,635,0.8713,NJ
420,518716.96,0.040392,103,821,0.7193,Other
421,294035.86,0.06193,86,767,0.7202,TX
422,193526.71,0.040505,152,711,0.752,AZ
423,215889.04,0.050716,156,690,0.7871,CA
424,144894.12,0.052099,103,786,0.6667,GA
425,189158.35,0.059655,156,690,0.7667,FL
426,240119.62,0.046234,278,694,0.77,Other
427,404988.22,0.045654,150,706,0.7385,PA
428,611913.63,0.053489,196,745,0.802,CA
429,151451.14,0.062564,279,768,0.7101,Other
430,336641.0,0.075375,267,794,0.6388,FL
431,176619.9,0.037425,258,787,0.7182,Other
432,349274.59,0.055653,121,740,0.7243,CA
433,265936.01,0.041635,172,786,0.8121,TX
434,123759.12,0.062688,183,710,0.8133,TX
435,428366.17,0.043115,91,658,0.7794,GA
436,214861.66,0.045754,88,710,0.8351,VA
437,221847.37,0.046607,53,704,0.8162,PA
438,174313.63,0.051738,203,712,0.793,CA
439,210149.09,0.055732,135,697,0.897,NY
440,341994.76,0.057337,250,719,0.7499,NJ
441,259066.5,0.052442,164,768,0.8069,FL
442,327059.67,0.039201,63,817,0.6911,NY
443,331991.56,0.059778,309,662,0.8484,NJ
444,511088.35,0.05197,265,682,0.7941,IL
445,241770.99,0.064117,250,704,0.7777,PA
446,145134.18,0.045423,279,774,0.728,TX
447,456000.91,0.036477,56,731,0.693,AZ
448,243003.3,0.05216,233,707,0.8267,WA
449,465825.6,0.06546,255,772,0.7573,VA
450,335212.42,0.054109,138,783,0.6669,VA
451,265929.92,0.050503,208,739,0.8139,NJ
452,330033.4,0.043797,87,703,0.8857,Other
453,678714.37,0.070078,218,752,0.7361,FL
454,718299.03,0.042204,302,730,0.7497,NY
455,291041.61,0.045246,116,729,0.8454,VA
456,303181.15,0.0582,68,717,0.8206,WA
457,457855.12,0.03394,70,782,0.7359,NY
458,192808.46,0.065246,178,751,0.811,WA
459,327709.12,0.058742,103,787,0.7519,PA
460,278831.16,0.061492,164,800,0.7981,FL
461,324895.44,0.058081,75,761,0.7605,AZ
462,193877.93,0.050889,247,717,0.8218,NJ
463,137956.63,0.041869,142,787,0.7931,WA
464,110985.79,0.051099,174,761,0.6389,VA
465,170617.1,0.042748,26,850,0.7389,CA
466,229485.73,0.057362,119,754,0.7423,AZ
467,247227.39,0.060568,203,771,0.7774,CA
468,674518.26,0.067268,108,753,0.8517,VA
469,464026.53,0.056218,123,736,0.7683,NC
470,182966.62,0.061746,53,728,0.7679,NC
471,329874.91,0.049529,191,753,0.7657,Other
472,234876.42,0.047717,118,763,0.6869,PA
473,248211.45,0.057237,45,792,0.8437,FL
474,306629.83,0.048635,141,754,0.7654,PA
475,372736.5,0.055192,207,719,0.8809,GA
476,242155.09,0.041888,134,725,0.7767,FL
477,455309.73,0.043684,127,680,0.835,TX
478,168742.27,0.058854,172,815,0.7605,NJ
479,282901.08,0.061367,105,716,0.7462,AZ
480,907957.8,0.042643,163,784,0.7358,PA
481,311883.78,0.059206,239,752,0.8147,AZ
482,537641.11,0.047173,193,754,0.7569,NJ
483,293955.62,0.052665,110,735,0.7603,Other
484,366351.92,0.066669,144,705,0.8669,VA
485,274978.33,0.060575,121,696,0.8892,FL
486,261271.82,0.060459,159,818,0.7887,NY
487,198636.72,0.071588,50,745,0.7418,Other
488,342366.0,0.045461,81,791,0.7057,Other
489,192299.29,0.042641,118,802,0.7013,NY
490,380603.47,0.045279,264,722,0.8319,WA
491,459722.88,0.049955,105,759,0.7033,AZ
492,332680.93,0.028954,263,742,0.7212,TX
493,248001.0,0.050426,169,688,0.7905,NJ
494,346031.3,0.047054,59,732,0.7402,NC
495,245511.02,0.060338,152,766,0.8011,CA
496,429766.02,0.056024,187,718,0.8404,VA
497,123731.26,0.046493,169,725,0.7692,TX
498,242553.28,0.0584,113,732,0.7774,NJ
499,115166.55,0.059733,108,835,0.5686,FL
500,143950.19,0.044815,139,657,0.8309,NC
501,521121.24,0.04757,25,763,0.8218,TX
502,422030.66,0.030246,69,729,0.7642,NY
503,204073.17,0.041593,248,711,0.7512,TX
504,143468.88,0.045075,126,727,0.8604,CA
505,75000.0,0.053242,186,770,0.6976,WA
506,220891.52,0.043046,154,773,0.828,TX
507,838346.48,0.047365,28,748,0.9173,TX
508,343072.79,0.040247,108,789,0.731,CA
509,219299.24,0.054211,225,797,0.7915,NJ
510,347766.34,0.056757,31,777,0.6637,TX
511,139744.18,0.056524,333,715,0.7166,IL
512,246768.14,0.052624,193,762,0.7206,NC
513,295010.1,0.037089,172,762,0.8016,CA
514,271374.4,0.0463,186,703,0.813,TX
515,402666.02,0.048427,144,669,0.8338,NY
516,329420.51,0.048467,257,649,0.7963,AZ
517,381073.18,0.05325,204,743,0.771,CA
518,206949.99,0.066755,28,753,0.7363,NC
519,422530.51,0.060621,127,687,0.781,Other
520,587141.79,0.042625,135,787,0.6879,CA
521,182304.33,0.059284,116,747,0.7834,FL
522,189195.65,0.058903,237,801,0.6898,NC
523,514578.27,0.044439,76,757,0.7646,Other
524,258821.83,0.060989,77,692,0.7342,TX
525,530576.6,0.050896,251,761,0.7865,PA
526,231158.51,0.0384,89,770,0.7654,NC
527,542948.91,0.057052,144,715,0.7907,NY
528,299290.1,0.05467,54,675,0.8459,GA
529,316856.09,0.050223,188,745,0.8223,IL
530,570417.09,0.052125,182,695,0.7476,Other
531,239714.35,0.045309,83,790,0.7389,IL
532,184701.27,0.058601,105,722,0.7307,NJ
533,230532.26,0.052065,101,818,0.715,GA
534,345777.33,0.054164,103,644,0.8524,CA
535,139442.61,0.056071,193,746,0.7734,IL
536,375818.62,0.040954,62,804,0.7655,CA
537,221361.61,0.043557,155,700,0.8565,PA
538,472841.59,0.030401,14,733,0.8406,IL
539,96046.03,0.058147,199,722,0.7762,WA
540,198004.57,0.040378,149,709,0.8427,VA
541,132070.26,0.053826,39,751,0.7956,NY
542,194501.81,0.05621,128,682,0.813,GA
543,315353.55,0.058524,107,735,0.7903,FL
544,260237.0,0.04046,152,763,0.7529,FL
545,251696.71,0.051848,13,730,0.8586,CA
546,262594.63,0.069203,232,695,0.8605,CA
547,309132.33,0.069643,99,786,0.7223,VA
548,179182.26,0.062373,38,773,0.7304,Other
549,387736.92,0.055875,107,693,0.8697,NJ
550,380103.81,0.042449,107,682,0.8986,CA
551,335463.04,0.059686,83,697,0.834,CA
552,362376.88,0.05092,74,765,0.7907,CA
553,322348.36,0.058105,30,752,0.8345,AZ
554,704880.09,0.046172,162,776,0.7393,NY
555,271253.1,0.050771,35,725,0.7975,AZ
556,245686.73,0.054141,118,698,0.8417,FL
557,200970.33,0.054963,223,781,0.7221,IL
558,177279.31,0.057437,95,715,0.8872,GA
559,161133.37,0.046708,170,748,0.751,CA
560,189101.88,0.039067,97,670,0.8453,GA
561,273264.05,0.068748,185,714,0.8989,VA
562,327889.78,0.077393,173,785,0.6469,CA
563,288662.63,0.056974,194,708,0.8192,CA
564,199887.33,0.03926,233,777,0.7141,NJ
565,422981.22,0.044768,66,635,0.8733,Other
566,393460.4,0.057591,135,715,0.7419,Other
567,262539.88,0.065911,195,732,0.7686,CA
568,210278.42,0.040371,38,818,0.7119,NC
569,361057.52,0.051257,113,687,0.839,VA
570,306995.42,0.054459,95,770,0.7981,AZ
571,147022.77,0.061146,292,788,0.6211,CA
572,273596.28,0.049064,325,708,0.8022,Other
573,317399.37,0.036862,62,723,0.7864,WA
574,188176.82,0.058712,201,746,0.7715,PA
575,307253.84,0.063748,103,673,0.8412,CA
576,146580.48,0.051674,268,720,0.7563,TX
577,514671.31,0.056552,170,797,0.652,FL
578,494636.04,0.047755,160,764,0.7695,WA
579,251794.16,0.044042,124,733,0.7365,NC
580,332220.59,0.062764,92,745,0.7957,Other
